# IEC Vap Identifier - Pass
# Auto-generated by classify_fixtures.rb

IEC 60068-2-41:1976+AMD1:1983 CSV
IEC 60068-2-5:2018 RLV
IEC 60068-2-52:2017 RLV
IEC 60068-2-58:2015+AMD1:2017 CSV
IEC 60068-2-6:1982+AMD1:1983+AMD2:1985 CSV
IEC 60068-2-60:2015 RLV
IEC 60068-2-64:2008+AMD1:2019 CSV
IEC 60068-2-67:1995+AMD1:2019 CSV
IEC 60068-2-69:2017+AMD1:2019 CSV
IEC 60068-2-7:1983+AMD1:1986 CSV
IEC 60068-2-74:1999+AMD1:2018 CSV
IEC 60068-2-78:2012 RLV
IEC 60068-2-9:1975+AMD1:1984 CSV
IEC 60068-2:2022 SER
IEC 60068-3-3:2019 RLV
IEC 60068-3-5:2018 RLV
IEC 60068-3-6:2018 RLV
IEC 60068-3-7:2020 RLV
IEC 60068-4:1987+AMD1:1992+AMD2:1994 CSV
IEC 60071-1:2006+AMD1:2010 CSV
IEC 60071-1:2019 RLV
IEC 60071-2:2018 RLV
IEC 60071:2022 SER
IEC 60074:1963+AMD1:1973+AMD2:1974 CSV
IEC 60076-1:1993+AMD1:1999 CSV
IEC 60076-10-1:2016+AMD1:2020 CSV
IEC 60076-11:2018 RLV
IEC 60076-3:2013+AMD1:2018 CSV
IEC 60076-5:1976 CSV
IEC 60076-7:2018 RLV
IEC 60077-1:2017 RLV
IEC 60077-2:2017 RLV
IEC 60077-3:2019 RLV
IEC 60077-4:2019 RLV
IEC 60077-5:2019 RLV
IEC 60079-0:1998+AMD1:2000 CSV
IEC 60079-0:2011 RLV
IEC 60079-0:2017 RLV
IEC 60079-1:1990+AMD1:1993+AMD2:1998 CSV
IEC 60079-1:2014 RLV
IEC 60079-10-1:2015 RLV
IEC 60079-10-1:2020 CMV
IEC 60079-10-2:2015 RLV
IEC 60079-11:2011 RLV
IEC 60079-15:2017 RLV
IEC 60079-18:2009 RLV
IEC 60079-18:2014+AMD1:2017 CSV
IEC 60079-19:2010+AMD1:2015 CSV
IEC 60079-2:2014 RLV
IEC 60079-26:2014 RLV
IEC 60079-28:2015 RLV
IEC 60079-29-1:2016+AMD1:2020 CSV
IEC 60079-29-2:2015 RLV
IEC 60079-31:2022 RLV
IEC 60079-5:1967 CSV
IEC 60079-5:2015+AMD1:2022 CSV
IEC 60079-6:2015+AMD1:2020 CSV
IEC 60079-7:1990+AMD1:1991+AMD2:1993 CSV
IEC 60079-7:2015+AMD1:2017 CSV
IEC 60079:2022 SER
IEC 60081:1984+AMD1:1987+AMD2:1988 CSV
IEC 60081:1997+AMD1:2000 CSV
IEC 60086-1:2015 RLV
IEC 60086-1:2021 RLV
IEC 60086-2:1977+AMD1:1978 CSV
IEC 60086-2:2000+AMD1:2001 CSV
IEC 60086-3:2016 RLV
IEC 60086-3:2021 RLV
IEC 60086-4:2019 RLV
IEC 60086-5:2016 RLV
