# NIST Letter Circular - Pass
# Auto-generated by classify_fixtures.rb

NBS LC 284
NBS LC 285
NBS LC 286
NBS LC 287
NBS LC 288
NBS LC 289
NBS LC 28r1924
NBS LC 28r1925
NBS LC 29
NBS LC 290
NBS LC 291
NBS LC 292
NBS LC 293
NBS LC 294
NBS LC 295
NBS LC 296
NBS LC 297
NBS LC 298
NBS LC 299
NBS LC 2r1925
NBS LC 3
NBS LC 30
NBS LC 300
NBS LC 301
NBS LC 302
NBS LC 303
NBS LC 304
NBS LC 305
NBS LC 306
NBS LC 307
NBS LC 308
NBS LC 309
NBS LC 30r1926
NBS LC 31
NBS LC 310
NBS LC 311
NBS LC 312
NBS LC 313
NBS LC 314
NBS LC 315
NBS LC 316
NBS LC 317
NBS LC 318
NBS LC 319
NBS LC 32
NBS LC 320r1932
NBS LC 321
NBS LC 322
NBS LC 323
NBS LC 324r1932
NBS LC 325
NBS LC 326
NBS LC 327
NBS LC 328
NBS LC 329
NBS LC 32r1928
!NBS LC 32supp!NBS LC 32sup
NBS LC 33
NBS LC 330
NBS LC 331
NBS LC 332
NBS LC 333
NBS LC 334
NBS LC 335
NBS LC 336
NBS LC 337
NBS LC 338
NBS LC 339
NBS LC 34
NBS LC 340
NBS LC 341
NBS LC 342r1932
NBS LC 343
NBS LC 344
NBS LC 345
NBS LC 346
NBS LC 347
NBS LC 348
NBS LC 349
NBS LC 35
NBS LC 350
NBS LC 351
NBS LC 352
NBS LC 353
NBS LC 354r1933
NBS LC 355
NBS LC 356
NBS LC 357
NBS LC 358
NBS LC 359
NBS LC 35r1924
NBS LC 36
NBS LC 360
NBS LC 361
NBS LC 362
NBS LC 363
NBS LC 364
NBS LC 365
NBS LC 366
NBS LC 367
NBS LC 368
NBS LC 369
NBS LC 37
NBS LC 370
NBS LC 371
NBS LC 372
NBS LC 373r1933
NBS LC 374
NBS LC 375
NBS LC 376
NBS LC 377
!NBS LC 378Ua!NBS LC 378A
!NBS LC 378Ub!NBS LC 378B
!NBS LC 378Uc!NBS LC 378C
!NBS LC 378Ud!NBS LC 378D
!NBS LC 378Ue!NBS LC 378E
!NBS LC 378Uf!NBS LC 378F
!NBS LC 378Ug!NBS LC 378G
!NBS LC 378Uh!NBS LC 378H
NBS LC 379
NBS LC 38
NBS LC 380
NBS LC 381
NBS LC 382
NBS LC 383
NBS LC 384
NBS LC 386
NBS LC 387
NBS LC 388
NBS LC 389
NBS LC 38r1924
NBS LC 39
NBS LC 390
NBS LC 391
NBS LC 392
