# British Standard
BS 5550-3.10.1:1980
BS 5550-3.10.2:1980
BS 5550-3.12.1:1979
BS 5550-3.9.1:1980
BS 5550-5.4.1:1986
BS 5550-6.4:1980
BS 5550-7.1.1:1980
BS 5550-7.2.5:1980
BS 5550-7.5.4:1981
BS 5551-4.2.2:1987
BS 5551-4.2.3:1987
BS 696.1:1936

# Adoptions from CEN and CENELEC
BS CECC 00009:1982
BS CECC 123400-003:1994
BS CECC 123500-003:1994
BS CECC 16000:1980
BS CECC 20000:1983
BS CECC 23100-003:1996
BS CECC 23100-801:1998
BS CECC 23200-003:1996
BS CECC 23200-801:1998
BS CECC 23300-003:1996
BS CECC 23300-801:1998
BS CECC 23600-801:1998
BS CECC 23700-801:1998
BS CECC 23800-801:1998
BS CECC 30101:1978
BS CECC 30202:1981
BS CECC 40000:1980
BS CECC 45000:1977
BS CECC 46000:1978
BS CECC 50000:1981
BS CECC 90200:1983
BS HD 60269-2 AMD2
BS HD 60269-2:2013+A1:2022
BS HD 60269-2:2013+A2:2024
BS HD 60269-3
BS HD 60269-3 AMD2
BS HD 60269-3:2010+A2:2022
BS HD 60364-7-725
BS HD 629.1 S3:2019
BS HD 629.2 S3:2024
BS HD 629.3 S1:2024
BS HD IEC 60364-8-81 ED1
BS EN 1073-2:2002
BS EN 111000:1993
BS EN 111001:1996
BS EN 112000:1997
BS EN 112001:1997
BS EN 113000:1993
BS EN 113001:1997
BS EN 123000:1992
BS EN 123100:1992
BS EN 123200:1992
BS EN 123300:1992
BS EN 123400-800:1992
BS EN 123400:1992
BS EN 123500-800:1992
BS EN 123500:1992
BS EN 123600:1997
BS EN 123700:1997
BS EN 123800:1997
BS EN 125100:1993
BS EN 125200:1993
BS EN 12899-1:2007
BS EN 12953-3:2016
BS EN 13445-3 AMD5
BS EN 13480-4 AMD4
BS EN 13480-5 AMD3
BS EN 135000:1993
BS EN 135001:1997
BS EN 13564-1:2002
BS EN 136000:1993
BS EN 136001:1996
BS EN 136002:1996
BS EN 1366-10 AMD1
BS EN 13757-4:2019
BS EN 1384:2023
BS EN 14082:2003
BS EN 14084:2003
BS EN 143000:1992
BS EN 143002:1992
BS EN 143003:1992
BS EN 143004:1992
BS EN 1458-1:2000
BS EN 1458-2:1999
BS EN 14935:2006
BS EN 150001:1993
BS EN 150003:1993
BS EN 150004:1993
BS EN 150006:1993
BS EN 150007:1993
BS EN 150010:1993
BS EN 150011:1993
BS EN 150012:1993
BS EN 15096:2020
BS EN 15221-6:2011
BS EN 15387:2011
BS EN 15505:2008
BS EN 15550:2007
BS EN 15813:2011
BS EN 16278:2012
BS EN 17096:2018
BS EN 17323:2020
BS EN 1863-1 AMD1
BS EN 188102:1996
BS EN 1996-3:2006
BS EN 21089:1992
BS EN 2240-089:2011
BS EN 2240-090:2011
BS EN 2240-091:2011
BS EN 2240-092:2011
BS EN 2240-093:2011
BS EN 2240-094:2011
BS EN 2240-095:2011
BS EN 2240-096:2011
BS EN 2240-097:2011
BS EN 2240-098:2011
BS EN 2240-099:2011
BS EN 25184:1995
BS EN 2591-B2:1994
BS EN 2591-D1:1992
BS EN 355:2002
BS EN 40-5:2002
BS EN 40-6:2002
BS EN 50288-10-2:2015
BS EN 50290-2-21:2002+A1:2007
BS EN 50290-2-22:2002
BS EN 50290-2-26:2002
BS EN 50290-2-30:2002
BS EN 55011 Fragments 2-7
BS EN 55011 Fragments 2, 6-7
BS EN 55011 Fragments 4-5
BS EN 55011:1998
BS EN 55013:2001+A2:2006
BS EN 55014-1:2001
BS EN 55014-2:1997+A2:2008
BS EN 55016-1-2:2004+A2:2006
BS EN 55016-1-4 AMD2
BS EN 55016-1-5:2004+A1:2012
BS EN 573-3:2007
BS EN 573-3:2009
BS EN 60065:2014+A11:2017
BS EN 60068-2-1:1993
BS EN 60068-2-31:1993
BS EN 60068-2-39:1999
BS EN 60068-2-45:1993
BS EN 60068-2-47:1993
BS EN 60249-1:1993
BS EN 60255-1-00:1997
BS EN 60320-2-1 AMD1
BS EN 60335-2-103:2003
BS EN 60335-2-24 AMD AA
BS EN 60335-2-26 AMD11
BS EN 60335-2-27 AMD1
BS EN 60335-2-27 AMD2
BS EN 60335-2-39 AMD1
BS EN 60335-2-42 AMD2
BS EN 60335-2-50 AMD2
BS EN 60335-2-53 AMD AA
BS EN 60335-2-65 AMD AA
BS EN 60335-2-67 AMD1
BS EN 60335-2-69 AMD1
BS EN 60335-2-75 AMD1
BS EN 60477-2:1999
BS EN 60477:1999
BS EN 60523:1993
BS EN 60524:1993
BS EN 60534-2-1:1993
BS EN 60534-2-2:1993
BS EN 60564:1993
BS EN 60601-1/FRAG10 ED4
BS EN 60618:1999
BS EN 60626-2:2009
BS EN 60641-3-1:1994
BS EN 60644:1993
BS EN 60654-2:1998
BS EN 60670-21:2007+A11:2023
BS EN 60670-22 AMD1
BS EN 60702-1:2002+A1:2015
BS EN 60702-2:2002+A1:2015
BS EN 60730-2-19:2002+A2:2008
BS EN 60731 AMD1
BS EN 60898-1:2019+A11:2024
BS EN 61184 AMD2
BS EN 61439-2:2009
BS EN 61672-1:2003
BS EN 61753-022-13
BS EN 618:2002+A1:2010
BS EN 61937-11:2010
BS EN 61937-6:2002
BS EN 61937-6:2006+A1:2014
BS EN 62019 AMD1
BS EN 62054-21 AMD1
BS EN 62305-2:2012
BS EN 62321-5:2014
BS EN 62532 AMD1
BS EN 682:2002
BS EN 80601-2-58 AMD1
BS EN 81-70:2021+A1:2022
BS EN 836:1997+A4:2011
BS EN 998-2:2016
BS EN IEC 55011 Fragment 4
BS EN IEC 55011. Fragment 6
BS EN IEC 60079-0:2018
BS EN IEC 60335-1/AMD1 FRAG2-6
BS EN IEC 60601-1/FRAG1
BS EN IEC 60601-1/FRAG11
BS EN IEC 60601-1/FRAG2
BS EN IEC 61169-70:2024
BS EN IEC 61535/AMD1/FRAG1
BS EN IEC 61535/AMD1/FRAG2
BS EN IEC 61851-1:2019
